0.000,1.000,1.410,-5.680
0.000,2.000,0.510,-6.940
0.000,3.000,2.300,-4.590
0.000,4.000,2.740,-2.500
0.000,5.000,-1.590,0.930
0.000,6.000,-1.720,1.320
0.000,7.000,-2.450,2.260
0.000,8.000,-1.450,-0.760
0.000,9.000,1.160,-8.540
0.000,10.000,-0.110,-9.900
10.000,1.000,1.280,-6.350
10.000,2.000,0.550,-7.590
10.000,3.000,1.940,-4.120
10.000,4.000,2.760,-1.770
10.000,5.000,-1.590,0.930
10.000,6.000,-1.720,1.320
10.000,7.000,-2.430,2.460
10.000,8.000,-1.450,-0.760
10.000,9.000,1.180,-9.170
10.000,10.000,-0.100,-9.880
20.000,3.000,1.530,-3.490
20.000,4.000,2.730,-1.070
20.000,5.000,-1.590,0.930
20.000,6.000,-1.720,1.320
20.000,7.000,-2.430,2.590
20.000,8.000,-1.450,-0.760
30.000,3.000,1.140,-2.990
30.000,4.000,2.730,-0.420
30.000,5.000,-1.590,0.930
30.000,6.000,-1.720,1.320
30.000,7.000,-2.380,2.820
30.000,8.000,-1.450,-0.760
40.000,3.000,0.840,-2.460
40.000,4.000,2.710,0.340
40.000,5.000,-1.590,0.930
40.000,6.000,-1.720,1.320
40.000,7.000,-2.410,3.350
40.000,8.000,-1.450,-0.760
50.000,3.000,0.450,-2.000
50.000,4.000,2.630,0.940
50.000,5.000,-1.590,0.930
50.000,6.000,-1.720,1.320
50.000,7.000,-2.410,3.760
50.000,8.000,-1.450,-0.760
60.000,3.000,0.170,-1.520
60.000,4.000,2.590,1.680
60.000,5.000,-1.590,0.930
60.000,6.000,-1.720,1.320
60.000,8.000,-1.450,-0.760
70.000,3.000,-0.100,-0.970
70.000,4.000,2.530,2.240
70.000,5.000,-1.590,0.930
70.000,6.000,-1.720,1.320
70.000,8.000,-1.450,-0.760
80.000,3.000,-0.340,-0.390
80.000,5.000,-1.590,0.930
80.000,6.000,-1.720,1.320
80.000,8.000,-1.450,-0.760
90.000,3.000,-0.550,0.190
90.000,5.000,-1.590,0.930
90.000,6.000,-1.720,1.320
90.000,8.000,-1.450,-0.760
100.000,3.000,-0.760,0.730
100.000,5.000,-1.590,0.930
100.000,6.000,-1.720,1.320
100.000,8.000,-1.450,-0.760
110.000,3.000,-0.940,1.210
110.000,5.000,-1.590,0.930
110.000,6.000,-1.700,1.320
110.000,8.000,-1.450,-0.760
120.000,3.000,-1.190,1.790
120.000,5.000,-1.590,0.930
120.000,6.000,-1.700,1.320
120.000,8.000,-1.450,-0.760
130.000,3.000,-1.460,2.170
130.000,5.000,-1.590,0.930
130.000,6.000,-1.700,1.320
130.000,8.000,-1.450,-0.760
140.000,5.000,-1.590,0.930
140.000,6.000,-1.700,1.320
140.000,8.000,-1.450,-0.760
140.000,11.000,0.400,2.980
140.000,12.000,1.250,2.850
140.000,13.000,1.010,3.820
150.000,5.000,-1.590,0.930
150.000,6.000,-1.700,1.320
150.000,8.000,-1.450,-0.760
150.000,11.000,0.340,2.200
150.000,12.000,1.330,2.640
150.000,13.000,0.900,3.500
160.000,5.000,-1.590,0.930
160.000,6.000,-1.700,1.320
160.000,8.000,-1.450,-0.760
160.000,11.000,0.340,1.360
160.000,12.000,1.360,2.360
160.000,13.000,0.760,3.120
170.000,5.000,-1.590,0.930
170.000,6.000,-1.700,1.320
170.000,8.000,-1.450,-0.760
170.000,11.000,0.400,0.550
170.000,12.000,1.340,1.980
170.000,13.000,0.740,2.590
170.000,14.000,4.000,-2.410
170.000,15.000,3.130,-2.310
170.000,16.000,3.580,-5.930
180.000,5.000,-1.590,0.930
180.000,6.000,-1.700,1.320
180.000,8.000,-1.510,-0.650
180.000,11.000,0.420,-0.300
180.000,12.000,1.380,1.500
180.000,13.000,0.740,2.000
180.000,14.000,3.990,-1.800
180.000,15.000,3.140,-1.800
180.000,16.000,3.440,-5.170
190.000,5.000,-1.590,0.930
190.000,6.000,-1.700,1.320
190.000,8.000,-1.450,-0.740
190.000,11.000,0.490,-1.140
190.000,12.000,1.400,0.970
190.000,13.000,0.760,1.390
190.000,14.000,3.920,-1.350
190.000,15.000,3.130,-1.300
190.000,16.000,3.350,-4.430
200.000,5.000,-1.590,0.930
200.000,6.000,-1.700,1.320
200.000,8.000,-1.450,-0.760
200.000,11.000,0.530,-1.970
200.000,12.000,1.350,0.350
200.000,13.000,0.780,0.770
200.000,14.000,3.900,-0.880
200.000,15.000,3.090,-0.810
